**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i said good night and went out ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? said he wanted to buy a paper and would walk to the corner with me ? ? ? ? ? ? ? ? ?')
('[0.9995001]', 'should i if i know an american girl that lives in ? what the hell is it to ? ” “it ? make any difference')
('[0.09750068]', 'any girl ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i ? go that would be all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? be silly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “you ? know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.09750068]', 'any girl at all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you see the way she looked ” “oh well ” i said ? go to ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? get sore ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? not sore ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? is a good place and we can stay at the grand ? and take a ? in the woods and come home ? ?')
('[1.7762184e-05]', '” “good that will be fine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “well ? see you to morrow at the ? ” i said ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8119812e-05]', '“good night ? ” he said and started back to the ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you forgot to get your paper ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? so ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he walked with me up to the ? at the corner ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you are not sore are you ? ” he turned with the paper in his hand ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no why should i be ” “see you at ? ” he said ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i watched him walk back to the ? holding his paper ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i rather liked him and evidently she led him quite a life ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? 2 that winter ? ? went over to america with his novel and it was accepted by a fairly good publisher ? ? ?')
('[2.8669834e-05]', 'that was where ? lost him because several women were nice to him in new york and when he came back he was quite changed')
('[2.8669834e-05]', 'he was more enthusiastic about america than ever and he was not so simple and he was not so nice ? ? ? ? ?')
('[0.00783637]', 'the publishers had ? his novel pretty highly and it rather went to his head ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then several women had put themselves out to be nice to him and his ? had all shifted ? ? ? ? ? ? ?')
('[0.6912793]', 'for four years his horizon had been absolutely limited to his wife ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6912793]', 'for three years or almost three years he had never seen beyond ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i am sure he had never been in love in his life ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9860225]', 'time he had in college and ? took him on the ? from his discovery that he had not been everything to his first wife')
('[0.18742159]', '? to women and that the fact of a woman caring for him and wanting to live with him was not simply a divine ?')
('[6.943941e-05]', 'this changed him so that he was not so pleasant to have around ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? than he could afford in some rather steep bridge games with his new york ? he had held cards and won several hundred dollars')
('[1.7940998e-05]', 'his bridge game and he talked several times of how a man could always make a living at bridge if he were ever forced to')
('[0.6497225]', 'then there was another thing ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had been reading ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9994532]', 'h ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.2733374]', 'hudson ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'that sounds like an innocent occupation but ? had read and ? “the purple land ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “the purple ? is a very ? book if read too late in life ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it ? splendid ? amorous ? of a perfect english gentleman in an intensely romantic land the scenery of which is very well described ?')
('[1.7732382e-05]', 'man of the same age to enter wall street direct from a french ? ? with a complete set of the more practical ? books')
('[0.18742159]', '? i believe took every word of “the purple ? as literally as though it had been an r ? ? ? ? ? ?')
('[0.9999209]', 'g ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? report ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you understand me he made some ? but on the whole the book to him was sound ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was all that was needed to set him off ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i did not realize the extent to which it had set him off until one day he came into my office ? ? ? ?')
('[0.18742159]', '? ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.04058617]', '“did you come in to cheer me up ” ? you like to go to south america ? ” he asked ? ? ? ?')
('[1.7821789e-05]', '“no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “why not ” “i ? know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i never wanted to go ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99842924]', 'too expensive ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you can see all the south americans you want in paris anyway ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? not the real south americans ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “they look awfully real to me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i had a boat train to catch with a ? mail stories and only half of them written ? ? ? ? ? ?')
('[4.759431e-05]', '“do you know any ? ” i asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “none of your exalted ? getting ? ” “no listen ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9995959]', 'if i handled both our expenses would you go to south america with me ” “why me ” “you can talk spanish ? ? ?')
('[0.99957013]', 'and it would be more fun with two of us ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “no ” i said “i like this town and i go to ? in the summer time ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “all my life ? wanted to go on a trip like that ” ? said ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he sat down ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? be too old before i can ever do it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? be a fool ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you can go anywhere you want ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? got plenty of money ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[4.1157007e-05]', 'but i ? get started ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? up ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.2657814]', '“all countries look just like the moving pictures ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” but i felt sorry for him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had it badly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? stand it to think my life is going so fast and ? not really living it ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “nobody ever lives their life all the way up except bull fighters ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? not interested in bull fighters ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? an ? life ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i want to go back in the country in south america ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we could have a great trip ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “did you ever think about going to british east africa to shoot ” “no i ? like that ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? go there with you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “no that ? interest me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? because you never read a book about it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99994636]', 'go on and read a book all full of love affairs with the beautiful shiny black ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i want to go to south america ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he had a hard jewish stubborn streak ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7881393e-05]', '“come on down stairs and have a drink ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you working ” “no ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we went down the stairs to the ? on the ground floor ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i had discovered that was the best way to get rid of friends ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99158955]', 'had a drink all you had to say was “well ? got to get back and get off some ? ” and it was done')
('[0.18742159]', '? like that in the newspaper business where it is such an important part of the ethics that you should never seem to be working')
('[1.8268824e-05]', 'anyway we went down stairs to the bar and had a ? and ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? looked at the bottles in ? around the wall ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8447638e-05]', '“this is a good place ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? a lot of liquor ” i agreed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ” he leaned forward on the bar ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99934417]', 'taking advantage of it do you realize ? lived nearly half the time you have to live already ” “yes every once in a while')
('[1.7762184e-05]', '” “do you know that in about thirty five years more ? be dead ” “what the hell ? ” i said ? ? ?')
('[1.7821789e-05]', '“what the hell ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? serious ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? one thing i ? worry about ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you ought to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? had plenty to worry about one time or other ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? through worrying ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “well i want to go to south america ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ? going to another country ? make any difference ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? tried all that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you ? get away from yourself by moving from one place to another ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? nothing to that ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “but ? never been to south america ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? america hell if you went there the way you feel now it would be exactly the same ? ? ? ? ? ?')
('[6.943941e-05]', 'this is a good town ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.898408e-05]', 'why ? you start living your life in paris ” ? sick of paris and ? sick of the quarter ? ? ? ? ?')
('[1.7762184e-05]', '” ? away from the quarter ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? around by yourself and see what ? to you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ? to me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i walked alone all one night and nothing happened except a bicycle ? stopped me and asked to see my papers ? ? ? ?')
('[1.7762184e-05]', '” ? the town nice at night ” “i ? care for paris ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” so there you were ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00341257]', 'could do anything about because right away you ran up against the two ? south america could fix it and he did not like paris')
('[2.8669834e-05]', 'he got the first idea out of a book and i suppose the second came out of a book too ? ? ? ? ?')
('[1.7851591e-05]', '“well ” i said ? got to go up stairs and get off some ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “do you really have to go ” “yes ? got to get these ? off ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “do you mind if i come up and sit around the office ” “no come on up ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he sat in the outer room and read the papers and the editor and publisher and i worked hard for two hours ? ?')
('[0.9962807]', 'a by line put the stuff in a couple of big ? ? and rang for a boy to take them to the ? st')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i went out into the other room and there was ? ? asleep in the big chair ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was asleep with his head on his arms ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i did not like to wake him up but i wanted to lock the office and ? off ? ? ? ? ? ? ?')
('[0.9542121]', 'i put my hand on his shoulder ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he shook his head ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? do it ” he said and put his head deeper into his arms ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i ? do it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9938097]', 'nothing will make me do it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ” i said and shook him by the shoulder ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he looked up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he smiled and ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.04058617]', '“did i talk out loud just then ” “something ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[4.1157007e-05]', 'but it ? clear ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “god what a rotten dream ” “did the typewriter put you to sleep ” ? so ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i ? sleep all last night ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what was the matter ” “talking ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i could picture it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i have a rotten habit of ? the bedroom scenes of my friends ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we went out to the ? ? to have an ? and watch the evening crowd on the ? ? ? ? ? ? ?')
('[0.18742159]', '? ? along at the edge of the ? ? ? and the ? going by ? and in pairs looking for the evening ?')
('[0.9998355]', 'table and watched her go up the street and lost sight of her and watched another and then saw the first one coming back again')
('[0.00170535]', 'she went by once more and i caught her eye and she came over and sat down at the table ? ? ? ? ?')
('[0.00783637]', 'the ? came up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7851591e-05]', '“well what will you drink ” i asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? not good for little girls ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “little girl yourself ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “a ? for me too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? the matter ” she asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? on a party ” “sure ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you ” “i ? know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you never know in this town ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you like paris ” “no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “why ? you go somewhere else ” ? anywhere else ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? happy all right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? hell ” ? is ? imitation ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00108632]', 'when you ? water it turns milky ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it tastes like ? and it has a good ? but it drops you just as far ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we sat and drank it and the girl looked sullen ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i said “are you going to buy me a dinner ” she grinned and i saw why she made a point of not laughing')
('[0.73236835]', 'with her mouth closed she was a rather pretty girl ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i paid for the ? and we walked out to the street ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i ? a horse cab and the driver pulled up at the curb ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we moved up the avenue de ? passed the locked doors of the shops their windows lighted the avenue broad and shiny and almost deserted')
('[0.00783637]', 'the cab passed the new york ? bureau with the window full of ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“what are all the ? for ” she asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.9013882e-05]', '“they show the hour all over america ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? kid me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.4362078e-05]', 'turned off the avenue up the ? des ? through the ? of the ? de ? and through a dark gate into the ?')
('[0.00170535]', 'she ? against me and i put my arm around her ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she looked up to be kissed ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she touched me with one hand and i put her hand away ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.943941e-05]', '“never mind ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? the matter you sick ” “yes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? sick ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
